idPlayer,namePlayer,dateBirth,numberJersey,idTeam,teamName,slugTeam,cityTeam,slugPlayer,yearSeasonFirst,yearSeasonLast,yearDraft,numberRound,numberOverallPick,slugSeason,nameSchool,nameOrganizationFrom,heightInches,weightLBS,countSeasonsPlayed,pts,ast,treb,countAllStarGames,ratioPIE,urlNBAAPI,nameFirst,nameLast,namePlayerAbbr,codeTeam,urlPlayerStats,urlPlayerThumbnail,urlPlayerHeadshot,urlPlayerActionPhoto,urlPlayerPhoto
676,Thomas Hamilton,1975-04-03,55,1610612745,Rockets,HOU,Houston,thomas_hamilton,1996,2003,,,,career,Pittsburgh,No College/USA,86,330,2,3.2,0.5,3.4,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=676,Thomas,Hamilton,T. Hamilton,rockets,https://stats.nba.com/player/676,https://stats.nba.com/media/players/230x185/676.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/676.png,https://stats.nba.com/media/players/700/676.png,https://stats.nba.com/media/players/230x185/676.png
712,Mario Bennett,1973-08-01,24,1610612747,Lakers,LAL,Los Angeles,mario_bennett,1996,2003,1995,1,27,career,Arizona State,Arizona State ''95/USA,81,235,4,4,0.4,2.7,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=712,Mario,Bennett,M. Bennett,lakers,https://stats.nba.com/player/712,https://stats.nba.com/media/players/230x185/712.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/712.png,https://stats.nba.com/media/players/700/712.png,https://stats.nba.com/media/players/230x185/712.png
753,Randy Brown,1968-05-22,0,1610612741,Bulls,CHI,Chicago,randy_brown,1992,2003,1991,2,31,career,New Mexico State,New Mexico State ''91/USA,74,190,12,4.8,2.2,1.8,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=753,Randy,Brown,R. Brown,bulls,https://stats.nba.com/player/753,https://stats.nba.com/media/players/230x185/753.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/753.png,https://stats.nba.com/media/players/700/753.png,https://stats.nba.com/media/players/230x185/753.png
981,Efthimios Rentzias,1976-01-11,14,1610612755,76ers,PHI,Philadelphia,efthimios_rentzias,2003,2003,1996,1,23,career,"",Greece,83,250,1,1.5,0.2,0.7,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=981,Efthimios,Rentzias,E. Rentzias,sixers,https://stats.nba.com/player/981,https://stats.nba.com/media/players/230x185/981.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/981.png,https://stats.nba.com/media/players/700/981.png,https://stats.nba.com/media/players/230x185/981.png
1038,Juaquin Hawkins,1973-07-02,29,1610612745,Rockets,HOU,Houston,juaquin_hawkins,2003,2003,,,,career,Long Beach State,Long Beach State ''96/USA,79,205,1,2.3,0.8,1.3,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=1038,Juaquin,Hawkins,J. Hawkins,rockets,https://stats.nba.com/player/1038,https://stats.nba.com/media/players/230x185/1038.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1038.png,https://stats.nba.com/media/players/700/1038.png,https://stats.nba.com/media/players/230x185/1038.png
1043,Amal McCaskill,1973-10-28,0,1610612755,76ers,PHI,Philadelphia,amal_mccaskill,1997,2004,1996,2,49,career,Marquette,Marquette/USA,83,235,4,1.8,0.3,1.9,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=1043,Amal,McCaskill,A. McCaskill,sixers,https://stats.nba.com/player/1043,https://stats.nba.com/media/players/230x185/1043.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1043.png,https://stats.nba.com/media/players/700/1043.png,https://stats.nba.com/media/players/230x185/1043.png
1505,Tariq Abdul-Wahad,1974-11-03,9,1610612758,Kings,SAC,Sacramento,tariq_abdul-wahad,1998,2004,1997,1,11,career,San Jose State,San Jose State/France,78,235,6,7.8,1.1,3.3,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=1505,Tariq,Abdul-Wahad,T. Abdul-Wahad,kings,https://stats.nba.com/player/1505,https://stats.nba.com/media/players/230x185/1505.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1505.png,https://stats.nba.com/media/players/700/1505.png,https://stats.nba.com/media/players/230x185/1505.png
1520,Charles Smith,1975-08-22,,0,"","","",charles_smith,1998,2006,1997,1,26,career,New Mexico,New Mexico/USA,,,4,5.1,0.9,1.4,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=1520,Charles,Smith,C. Smith,"",https://stats.nba.com/player/1520,https://stats.nba.com/media/players/230x185/1520.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1520.png,https://stats.nba.com/media/players/700/1520.png,https://stats.nba.com/media/players/230x185/1520.png
1535,Jason Lawson,1974-09-02,55,1610612753,Magic,ORL,Orlando,jason_lawson,1998,2003,1997,2,41,career,Villanova,Villanova ''97/USA,83,240,1,1.5,0.3,1.6,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=1535,Jason,Lawson,J. Lawson,magic,https://stats.nba.com/player/1535,https://stats.nba.com/media/players/230x185/1535.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1535.png,https://stats.nba.com/media/players/700/1535.png,https://stats.nba.com/media/players/230x185/1535.png
1601,Rusty LaRue,1973-12-10,,0,"","","",rusty_larue,1998,2004,,,,career,Wake Forest,Wake Forest/USA,,,4,5,1.6,1.3,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=1601,Rusty,LaRue,R. LaRue,"",https://stats.nba.com/player/1601,https://stats.nba.com/media/players/230x185/1601.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1601.png,https://stats.nba.com/media/players/700/1601.png,https://stats.nba.com/media/players/230x185/1601.png
